103,0,358,358,39,39,39,0,39
396,1,319,319,78,78,78,0,78
691,2,280,280,117,117,117,0,117
970,3,241,241,156,156,156,0,156
1256,4,202,202,195,195,195,0,195
1549,5,163,163,234,234,234,0,234
1834,6,124,124,273,273,273,0,273
2135,7,85,85,312,312,312,0,312
2412,8,50,50,347,347,347,0,347
2604,9,50,50,347,347,347,0,347
2893,10,50,50,347,347,347,0,347
3177,11,50,50,347,347,347,0,347
3464,12,50,50,347,347,347,0,347
3752,13,50,50,347,347,347,0,347
4040,14,50,50,347,347,347,0,347
4327,15,50,50,347,347,347,0,347
4619,16,50,50,347,347,347,0,347
4905,17,50,50,347,347,347,0,347
5193,18,50,50,347,347,347,0,347
5483,19,50,50,347,347,347,0,347
